,SYMBOL,tp,wp,mp,tmp,smp,yp
181,CYIENT,739.3,749.3,799.15,558.65,1191.85,1099.8
182,DAAWAT,123.5,126.55,117.25,188.5,72.5,69.95
183,DABUR,553.6,554.7,540.15,276.0,614.15,602.45
184,DALMIASUG,328.1,316.25,339.4,24.6,451.9,406.8
185,DATAMATICS,313.65,302.8,329.15,52.8,348.15,337.15
186,DBCORP,116.65,112.85,127.75,323.4,96.7,101.45
187,DBREALTY,99.3,103.1,107.8,60.35,41.3,48.75
188,DBSTOCKBRO,24.55,24.95,25.2,24.25,17.7,16.9
189,DCBBANK,118.5,107.9,102.5,143.05,96.8,102.5
190,DCMSHRIRAM,1040.4,1045.6,1031.85,107.2,1193.65,1027.4
191,DECCANCE,514.3,508.5,523.65,443.15,776.95,692.95
192,DEEPAKFERT,933.0,965.95,938.3,127.9,440.7,397.2
193,DEEPAKNTR,2332.6,2313.95,2205.35,63.1,2866.85,2354.25
194,DELTACORP,218.3,223.15,227.35,76.9,291.7,298.1
195,DEN,33.2,32.9,33.0,121.05,53.55,41.95
196,DENORA,768.7,747.5,838.95,152.75,340.55,374.65
197,DHAMPURSUG,209.2,198.35,225.65,31.45,331.2,308.45
198,DHANBANK,15.35,12.05,12.15,27.75,16.35,15.15
199,DHANUKA,730.4,727.8,684.8,439.4,825.4,765.8
200,DHUNINV,654.65,659.9,659.8,139.45,640.7,622.55
201,DICIND,411.65,421.4,413.8,639.15,456.55,433.0
202,DIVISLAB,3414.55,3608.9,3735.75,1114.95,5343.05,4843.8
203,DLF,397.8,385.5,368.9,137.35,441.75,428.35
204,DLINKINDIA,293.35,272.3,187.15,164.95,146.9,147.15
205,DONEAR,58.6,59.4,57.65,13.9,58.35,69.65
206,DPSCLTD,13.85,13.45,13.35,13.3,16.9,15.95
207,DREDGECORP,370.7,340.45,346.0,333.65,380.95,349.1
208,DRREDDY,4485.45,4433.7,4376.65,4162.35,4877.5,4843.25
209,DSSL,305.6,272.95,280.05,9.05,167.95,149.4
210,DTIL,196.75,194.2,204.25,229.2,283.7,277.35
