,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
788,NCLIND,220.65,233.5,240.05,244.6,202.05,143.45,277.20413287521296
919,QNIFTY,1854.0,1864.0,1921.15,1708.15,1560.0,1326.0,277.20010019087346
529,INDSWFTLAB,73.85,74.6,61.5,61.1,83.3,68.45,277.1956393346484
310,ENIL,197.05,209.3,186.2,187.05,156.0,145.9,277.1793864959069
1213,VARDHACRLC,51.45,52.7,66.35,66.05,44.45,30.5,277.0646222143292
298,ELECTCAST,33.55,34.95,36.65,34.8,32.55,22.1,277.05819696795913
31,AJANTPHARM,2119.55,2150.45,2161.95,2240.4,1935.1,1527.25,277.00639932526826
314,ERIS,760.25,763.05,823.45,733.1,708.7,524.5,276.94144826764284
479,ICICIALPLV,176.9,176.84,182.28,170.13,150.19,128.48,276.87399578783305
1224,VGUARD,249.75,252.8,256.85,240.35,237.8,179.25,276.87053284893545
720,MARICO,541.8,548.2,574.3,537.9,459.7,378.25,276.8444752076239
706,MAN50ETF,183.26,184.01,189.91,169.27,155.0,131.83,276.79895750906593
412,GRSE,248.4,272.8,216.7,185.15,185.5,195.95,276.61995635960943
921,QUICKHEAL,221.9,231.35,228.75,217.25,227.05,154.8,276.39526251124136
104,AVTNPL,76.3,81.0,89.0,72.85,60.2,47.25,276.317797197947
189,CARERATING,649.55,661.75,700.45,651.65,551.9,446.15,276.2498534229205
769,MURUDCERA,25.2,26.0,26.55,23.85,24.2,17.45,276.2150005790431
671,LICNETFSEN,637.05,637.51,663.74,591.12,556.07,460.61,276.207527955092
888,PODDARMENT,297.4,317.4,346.85,346.25,236.7,183.55,276.1849599515462
180,CAMLINFINE,157.9,171.7,179.35,163.4,162.9,97.8,276.14261893666503
495,ICICISENSX,650.78,651.22,671.67,601.2,540.67,475.49,276.0956256642369
1066,SPLIL,44.95,51.05,45.9,52.9,43.35,29.25,276.0770742511827
1106,SWARAJENG,1771.7,1763.6,1730.9,1696.95,1530.95,1382.35,275.888500529073
714,MANINDS,102.4,103.0,108.9,116.25,99.2,72.5,275.8524714534332
247,DBCORP,100.35,101.75,94.75,86.9,90.55,79.65,275.83599520503054
1088,SUNDARMFIN,2413.8,2434.7,2468.55,2438.85,2471.3,1769.05,275.83544178572845
85,ASIANHOTNR,80.35,83.55,86.45,74.4,70.3,54.4,275.8259003187967
248,DBL,559.65,584.05,651.9,504.95,536.3,354.6,275.6731438615964
704,MAITHANALL,956.0,1108.7,1133.45,986.8,755.0,547.5,275.634662541157
689,M&M,923.7,924.75,917.5,785.65,818.95,705.45,275.6041347573356
610,KARURVYSYA,52.8,57.9,49.8,41.1,57.35,38.6,275.52531368999314
575,JINDALSAW,104.5,110.3,118.5,121.65,89.15,67.0,275.4892994031187
386,GOCLCORP,321.25,353.5,343.25,261.25,219.75,208.15,275.4268345378009
1205,UTINIFTETF,1877.01,1878.61,1936.77,1727.97,1576.15,1382.05,275.4165885367249
183,CANFINHOME,645.4,639.2,682.25,500.3,511.45,469.8,275.4042860333741
917,PVR,1694.95,1716.5,1689.05,1325.45,1247.15,1276.3,275.3801181212053
460,HINDZINC,322.95,319.5,369.3,308.1,344.55,219.85,275.2662645676557
725,MATRIMONY,979.75,1025.3,1014.75,1088.15,895.4,687.15,275.1312756388079
1006,SETFNIF50,182.05,183.06,187.74,167.78,153.34,133.88,275.10754814202085
340,FORCEMOT,1555.3,1622.9,1503.4,1316.8,1251.55,1174.55,275.0124102456025
417,GTNTEX,8.5,10.3,8.4,7.75,5.8,5.45,274.9718472050796
589,JPINFRATEC,1.95,2.0,2.1,1.8,1.85,1.35,274.96031746031747
97,ATULAUTO,226.9,231.25,227.65,194.9,188.8,169.45,274.85988530303644
806,NEXTMEDIA,5.65,5.45,5.8,4.9,4.55,4.4,274.80804765465473
797,NETF,184.54,186.98,191.89,205.64,185.02,134.21,274.6233654847362
884,PNB,41.65,41.85,44.15,35.6,38.05,30.05,274.51735415034716
825,NTPC,135.3,136.65,149.65,114.15,112.85,93.65,274.290106370242
782,NAVKARCORP,40.7,46.25,41.75,41.8,41.65,26.85,274.2653910056981
1045,SKMEGGPROD,70.4,71.15,83.1,77.2,65.0,46.2,274.2389953792112
487,ICICILOVOL,141.6,141.8,146.27,135.41,123.76,105.56,274.1776213000659
294,EIHAHOTELS,376.75,399.15,407.55,313.2,270.3,254.05,273.9798817162995
942,REFEX,127.25,132.2,140.9,125.2,138.3,85.85,273.8820934438388
933,RANEHOLDIN,596.15,619.9,602.1,645.85,576.2,437.9,273.7693017919004
874,PHILIPCARB,230.05,232.05,241.45,231.55,232.85,168.25,273.7639755378761
553,ITDC,373.45,394.7,420.35,376.4,369.85,245.4,273.49160636659667
347,GAEL,169.7,176.8,174.3,167.85,181.9,122.75,273.47045487793764
1206,UTISENSETF,627.57,628.71,649.34,581.38,522.91,471.43,273.3296335544039
911,PSPPROJECT,513.35,514.35,519.0,425.65,400.05,395.35,273.2263422468544
375,GLAXO,1639.7,1598.55,1465.6,1562.75,1462.15,1525.7,273.122179422272
380,GMDCLTD,67.35,70.75,74.65,62.6,74.6,45.4,272.8194860757141
1071,SRIPIPES,190.65,200.35,210.95,204.35,188.1,128.85,272.6734383707118
605,KALPATPOWR,408.3,419.35,425.3,398.75,418.35,298.95,272.54322398227606
999,SDBL,38.7,39.65,43.85,40.85,44.95,26.35,272.4988055170329
1159,TOKYOPLAST,97.55,104.0,101.65,102.9,81.8,68.8,272.33003758094304
272,DLINKINDIA,141.9,148.95,142.7,128.6,109.1,105.4,272.27180073205835
382,GMRINFRA,39.25,43.05,41.75,27.55,26.4,26.45,272.2394095903488
95,ATFL,963.95,988.6,1021.9,978.3,964.95,698.1,272.1561054507652
242,DAAWAT,67.95,70.3,69.85,65.8,87.6,50.25,272.10460280932415
