,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
706,MARUTI,7615.55,7297.35,7162.3,7102.9,6666.65,6907.6,5.4238862793173706
1003,SHREECEM,29145.75,27777.9,29099.55,29133.15,27736.2,22053.05,5.423702312913829
156,BINDALAGRO,19.95,21.0,23.0,28.1,16.95,11.65,5.416793219533022
302,EMMBI,104.0,102.55,107.9,110.65,97.05,73.0,5.4141655583845365
1040,SPICEJET,70.85,72.5,75.0,73.5,62.75,50.65,5.413752689349515
788,NFL,55.25,55.75,58.4,61.55,62.6,32.7,5.4069275315922996
834,PARAGMILK,138.95,135.65,126.05,134.65,138.9,111.4,5.406269272446717
931,RITES,281.8,283.05,275.25,269.6,239.35,242.25,5.405249024508006
1002,SHREDIGCEM,82.35,82.05,78.4,91.95,69.6,64.75,5.404638719478271
403,GSCLCEMENT,45.7,47.15,50.25,52.2,35.8,33.3,5.403087432518194
889,PRSMJOHNSN,121.35,119.25,124.65,138.25,132.55,75.05,5.401319256207276
356,GEPIL,297.4,304.35,299.4,324.8,264.35,214.1,5.400218986882353
295,ELECTCAST,33.55,34.2,37.15,39.4,33.45,20.2,5.399493178963545
810,OCCL,1052.8,1055.45,1050.85,1155.3,912.55,788.55,5.3994222717433615
229,COUNCODOS,3.15,3.3,2.85,3.2,2.05,3.85,5.398950796475669
912,RANEHOLDIN,613.8,591.15,603.15,742.5,584.5,419.2,5.3969849863363395
366,GKWLIMITED,632.25,661.0,640.6,745.95,516.2,457.8,5.396925117096109
652,LICHSGFIN,415.75,405.8,427.95,409.6,412.2,301.9,5.396750063365031
99,ATUL,9036.2,9674.9,9740.8,9081.25,8442.3,6150.0,5.3963370626987945
1108,TCS,3476.4,3482.6,3730.2,3273.95,3111.45,2707.45,5.393322305488812
787,NEXTMEDIA,5.25,5.55,5.75,5.35,4.3,3.95,5.390341992030541
738,MOREPENLAB,50.2,50.0,56.1,62.3,58.9,27.5,5.3823557165363525
1041,SPLIL,43.55,44.1,46.9,59.65,35.75,28.7,5.3817953987383085
464,IBULHSGFIN,219.05,228.2,234.45,271.15,176.6,152.35,5.380254782272367
698,MANINDS,107.15,105.2,109.7,140.35,97.5,70.4,5.379730833434566
92,ASTEC,1307.25,1221.45,1285.15,1375.0,1140.1,1098.35,5.374972419597196
791,NIACL,153.05,158.7,162.0,157.0,152.55,102.9,5.374636075434299
91,ASPINWALL,179.05,169.4,179.2,223.7,182.4,116.65,5.373098366348828
456,HONAUT,42451.0,43360.05,44686.6,41957.75,42214.1,29891.85,5.366527156077845
188,CASTROLIND,140.2,140.75,140.1,139.95,125.4,112.25,5.365612591864777
714,MAZDA,611.2,628.8,678.85,563.7,473.85,548.1,5.3616056690113085
365,GIPCL,87.35,88.4,85.55,95.5,75.85,67.95,5.360941261860816
966,SBICARD,1068.2,1123.1,1046.6,1035.05,975.45,847.5,5.359280437702555
927,REVATHI,599.95,596.45,596.65,676.55,550.35,437.75,5.358833033325672
367,GLAXO,1597.6,1462.4,1469.3,1691.8,1464.2,1400.55,5.355893417383988
1,3MINDIA,25560.5,26146.75,24863.2,24382.0,24741.8,20183.1,5.353479354032265
755,MUTHOOTFIN,1492.6,1529.3,1533.8,1592.3,1170.15,1256.35,5.350134568167562
527,INSECTICID,643.25,649.75,682.9,833.25,517.75,459.85,5.345132822843839
634,KRBL,284.5,291.5,321.55,280.2,203.3,266.25,5.344063661486961
226,CORDSCABLE,52.7,55.35,53.3,60.5,43.75,39.9,5.337313632663848
1210,VISHAL,101.4,104.3,113.3,128.8,49.45,161.35,5.333435370676589
856,PIIND,2998.7,3035.9,3100.45,3139.55,2664.1,2315.85,5.33052092282044
513,INDNIPPON,394.9,431.2,360.3,387.9,361.6,327.75,5.326865777458974
1138,TOTAL,48.7,47.45,51.5,59.85,40.75,36.2,5.326071398362639
416,HARRMALAYA,165.85,167.65,189.4,220.4,173.6,94.6,5.325947178147114
1107,TCPLPACK,514.8,516.55,539.75,560.4,468.9,379.5,5.323426999085281
992,SHANTIGEAR,155.75,154.0,164.65,193.5,154.0,100.8,5.318721668285622
798,NMDC,145.65,142.55,143.65,179.2,170.4,90.4,5.314374589734818
597,KARURVYSYA,48.55,51.7,47.0,47.4,54.65,34.0,5.312633673824147
98,ATFL,992.2,1015.5,1024.4,1016.2,984.4,717.85,5.312111721077786
108,AXISBANK,752.35,841.9,768.15,753.8,715.75,541.75,5.311016328402968
1089,TASTYBITE,16051.4,17039.2,17652.25,18048.4,15161.35,10667.9,5.3040426815860195
773,NECLIFE,26.4,26.9,29.65,32.2,25.85,16.65,5.298538455480372
461,HUDCO,43.05,43.6,44.65,44.6,42.75,31.35,5.297020976841304
1059,SUMICHEM,369.15,386.0,397.6,431.05,298.35,280.1,5.29641734314021
336,FOSECOIND,1472.05,1436.35,1461.3,1607.95,1389.6,1143.45,5.29440312128375
719,MCX,1722.25,1712.0,1671.85,1570.85,1479.2,1728.25,5.2933544051744015
261,DHANBANK,15.6,15.9,16.1,17.3,13.8,11.9,5.293169431253417
808,OAL,799.05,828.8,941.1,899.05,898.45,470.8,5.288518341485096
653,LICNETFGSC,23.6,22.96,23.12,22.08,21.87,21.69,5.28463919836821
713,MAYURUNIQ,426.5,442.6,462.05,535.3,461.05,254.75,5.282686541286458
