,SYMBOL
566,NAHARPOLY
187,DBREALTY
0,20MICRONS
865,UFLEX
348,HOVS
288,GOKEX
400,IVC
449,KAYA
677,RANASUG
712,SADBHIN
45,ARCHIDPLY
373,INDNIPPON
791,SUPERSPIN
357,IDEA
212,ECLERX
261,GANESHHOUC
231,ESCORTS
902,VOLTAS
797,SUTLEJTEX
520,MANINFRA
196,DENORA
90,BALRAMCHIN
810,TARAPUR
1,3MINDIA
431,JPASSOCIAT
538,MIRCELECTR
211,DWARKESH
202,DIVISLAB
257,GAL
493,LUMAXIND
186,DBCORP
638,PLASTIBLEN
317,HAVELLS
279,GMBREW
843,TNPETRO
895,VIPULLTD
540,MMFL
175,CRISIL
233,ESTER
610,ORICONENT
277,GLOBALVECT
405,JAGSNPHARM
565,NAHARINDUS
268,GHCL
765,SPECIALITY
362,IGARASHI
368,INDIACEM
316,HATSUN
779,SUMEETINDS
855,TTKPRESTIG
107,BEPL
221,ELECTHERM
486,LICHSGFIN
594,NOCIL
553,MRPL
91,BANARBEADS
395,ISFT
56,ASHIMASYN
522,MARALOVER
334,HILTON
240,FCL
711,SADBHAV
74,AVANTIFEED
489,LOTUSEYE
292,GOODLUCK
604,OMAXE
728,SCHNEIDER
255,GAEL
708,RUCHIRA
485,LIBERTSHOE
866,UFO
771,SRHHYPOLTD
930,ZUARI
344,HMVL
39,APCOTEXIND
841,TIRUMALCHM
730,SDBL
539,MIRZAINT
506,MAHLIFE
879,VAKRANGEE
325,HEG
737,SHARDACROP
661,PVP
839,TIMKEN
740,SHILPAMED
471,KOTARISUG
756,SMLISUZU
823,TCI
593,NMDC
128,BOMDYEING
651,PRECOT
22,AKSHOPTFBR
777,SUBROS
158,CHENNPETRO
798,SUVEN
388,INTELLECT
69,AURIONPRO
911,WELCORP
494,LUMAXTECH
646,POWERMECH
707,RUBYMILLS
877,VADILALIND
896,VISAKAIND
49,ARSHIYA
815,TATAELXSI
407,JAICORPLTD
125,BLUEDART
833,THANGAMAYL
710,RUSHIL
517,MANGCHEFER
236,EXCEL
826,TDPOWERSYS
848,TPLPLASTEH
