,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
137,BHAGYAPROP,23.75,33.7,31.5,20.6,29.55,28.55,1.1529126213592231
589,LICHSGFIN,434.15,391.2,362.9,376.65,427.05,382.55,1.1526616221956725
261,EDELWEISS,109.2,62.6,53.8,94.9,79.2,60.7,1.1506849315068493
259,DYNPRO,142.45,643.5,629.8,123.8,536.3,442.9,1.1506462035541194
503,JBCHEPHARM,425.65,1642.35,1563.65,370.6,1866.95,1290.5,1.148542903399892
428,ICICIGI,1386.8,1380.2,1219.2,1209.85,1589.5,1399.0,1.1462578005537878
562,KOKUYOCMLN,81.95,65.5,60.85,71.5,68.05,53.8,1.1461538461538463
907,SNOWMAN,42.6,35.7,32.4,37.25,42.95,50.05,1.1436241610738256
947,SUPERHOUSE,90.65,185.35,175.95,79.3,169.75,114.0,1.14312736443884
215,CUBEXTUB,12.4,28.35,29.6,10.85,22.05,23.85,1.142857142857143
386,HDFCAMC,3199.7,2272.6,2209.2,2801.7,2908.6,2790.9,1.142056608487704
174,CAREERP,109.9,122.45,114.7,96.25,162.25,119.3,1.1418181818181818
444,IDFC,39.25,63.4,58.95,34.4,54.95,45.7,1.1409883720930234
644,METROPOLIS,1451.55,2475.3,1972.65,1272.8,2700.8,2444.75,1.140438403519799
985,TEJASNET,95.05,560.75,392.35,83.35,492.9,167.25,1.140371925614877
968,TATAMETALI,612.45,875.2,809.3,537.45,1034.25,877.0,1.1395478649176667
1087,WENDT,2822.45,6323.6,5169.85,2480.6,4333.0,3104.05,1.1378094009513826
817,RELIANCE,1514.05,2615.65,2403.35,1332.25,2519.25,1901.15,1.1364608744604991
858,SBILIFE,961.6,1160.45,1085.75,846.4,1215.1,898.95,1.1361058601134215
731,ORIENTELEC,188.05,348.25,316.95,165.6,331.85,280.45,1.1355676328502418
1052,VBL,708.6,962.25,940.8,624.1,897.6,926.3,1.1353949687550071
1001,TINPLATE,142.4,426.05,363.55,125.45,287.2,164.55,1.1351135910721404
1098,YESBANK,46.95,15.65,12.8,41.4,12.55,14.05,1.134057971014493
247,DLINKINDIA,103.85,147.15,146.15,91.6,154.95,98.6,1.1337336244541485
420,IBMFNIFTY,122.82,184.47,176.87,108.43,176.03,147.07,1.1327123489809092
964,TATACHEM,667.1,999.6,938.05,588.95,919.3,724.6,1.132693777060871
911,SOMANYCERA,213.95,658.9,673.1,189.0,755.2,419.05,1.132010582010582
86,ASTRAZEN,2616.6,2915.9,2664.1,2314.25,3089.6,3904.0,1.1306470778870044
651,MINDTREE,800.15,4303.2,3948.75,707.8,4200.1,2042.0,1.1304747103701611
133,BFINVEST,319.45,309.5,286.5,282.75,359.1,272.3,1.1297966401414676
401,HINDALCO,216.15,581.75,572.7,191.35,487.95,359.35,1.1296054350666318
654,MMTC,18.75,51.55,47.25,16.6,44.9,38.7,1.1295180722891565
1036,UNITEDTEA,293.6,389.95,352.45,260.0,391.35,291.75,1.1292307692307693
166,CALSOFT,13.2,36.25,37.3,11.7,31.3,8.65,1.1282051282051282
695,NESCO,660.65,591.7,537.55,585.8,606.9,469.3,1.1277739842949812
471,INEOSSTYRO,717.95,1106.2,966.7,636.8,1385.35,1085.9,1.1274340452261309
492,ITI,92.5,104.55,97.25,82.1,124.5,103.85,1.1266747868453106
673,MUTHOOTFIN,761.45,1374.95,1331.05,675.9,1450.3,1141.95,1.12657197810327
364,GRSE,198.85,251.9,230.65,176.8,193.3,176.5,1.1247171945701357
296,FINEORG,1945.05,4217.85,3977.25,1729.6,3075.65,2479.4,1.1245663737280296
195,CIPLA,478.2,1011.6,1055.8,425.5,983.55,949.3,1.1238542890716803
455,IIFL,140.05,332.55,288.95,124.65,287.0,251.85,1.1235459286000802
316,GANGESSECU,42.8,133.6,133.75,38.1,89.75,57.1,1.1233595800524934
445,IDFCFIRSTB,45.15,41.9,42.0,40.2,47.65,50.65,1.123134328358209
585,LEMONTREE,64.0,66.7,54.5,57.05,45.4,30.05,1.1218229623137599
60,APLLTD,571.3,771.55,734.25,509.4,789.1,995.8,1.1215155084413035
825,RIIL,295.05,830.45,763.95,263.3,692.2,353.3,1.1205848841625523
614,MAHLOG,402.2,518.45,444.4,359.0,732.45,520.15,1.12033426183844
120,BANKINDIA,70.4,52.45,48.45,62.95,55.5,64.6,1.1183478951548849
392,HEG,1065.95,1375.05,1274.35,953.2,2248.0,2044.3,1.1182857742341585
72,ASAHISONG,152.5,306.05,268.8,136.55,342.2,315.45,1.1168070303917979
1075,VSTIND,4214.45,3128.55,3062.7,3774.5,3397.0,3266.55,1.1165584845674923
427,ICICIBANKP,182.57,188.58,177.89,163.64,192.19,163.97,1.115680762649719
236,DFMFOODS,274.6,276.1,256.25,246.15,358.6,357.35,1.115579930936421
836,RUPA,195.65,452.35,461.65,175.4,450.9,297.35,1.1154503990877993
90,ATULAUTO,252.3,201.65,172.4,226.25,215.15,167.45,1.1151381215469613
403,HINDCOPPER,39.25,122.6,115.25,35.2,109.95,140.4,1.1150568181818181
951,SUTLEJTEX,31.5,81.6,72.55,28.25,69.35,38.35,1.1150442477876106
639,MAZDA,395.8,520.4,492.0,355.0,674.85,436.8,1.1149295774647887
864,SELAN,159.5,200.5,148.3,143.15,152.0,118.7,1.114215857492141
237,DHAMPURSUG,232.55,549.1,533.05,208.85,293.45,205.9,1.1134785731386163
511,JKCEMENT,1168.85,2797.9,2486.4,1050.35,3107.75,2859.0,1.112819536345028
82,ASTEC,455.35,1810.35,1670.35,409.45,1287.75,1030.35,1.112101599706924
20,ADFFOODS,306.85,816.95,722.9,275.95,882.65,881.2,1.1119768073926437
31,AKSHARCHEM,237.2,419.5,377.8,213.45,411.2,226.9,1.1112672757085968
944,SUNPHARMA,432.55,924.6,889.2,389.45,818.25,645.15,1.1106688920272179
1020,TVSMOTOR,468.45,653.4,609.7,422.0,549.45,536.95,1.1100710900473933
893,SHYAMCENT,3.05,29.95,19.25,2.75,14.4,5.35,1.1090909090909091
1007,TORNTPHARM,1849.05,2801.8,2850.0,1667.4,3085.5,2604.85,1.1089420654911837
903,SMARTLINK,84.25,131.1,120.5,76.0,118.1,81.35,1.1085526315789473
244,DIVISLAB,1845.8,4505.95,4402.25,1665.5,4798.7,3779.7,1.1082557790453318
410,HITECHCORP,87.45,286.25,237.4,79.0,213.3,137.3,1.1069620253164558
491,ITDCEM,55.4,69.4,64.9,50.05,76.2,73.75,1.106893106893107
426,ICICIBANKN,323.56,376.49,355.71,292.36,373.72,310.02,1.1067177452455876
820,REPRO,619.4,423.9,422.0,559.8,552.9,338.85,1.106466595212576
758,PIIND,1445.9,2919.9,2728.6,1307.05,3178.35,2542.0,1.1062315902222564
1081,WEBELSOLAR,22.4,110.7,101.45,20.25,65.6,44.2,1.1061728395061727
509,JINDWORLD,63.3,292.05,308.45,57.25,92.05,45.1,1.1056768558951964
897,SIS,972.3,515.1,474.75,879.6,495.2,362.15,1.105388813096862
545,KEC,302.05,397.85,400.3,273.35,443.1,417.9,1.1049935979513443
189,CHALET,348.95,310.0,273.45,315.85,239.9,141.35,1.1047965806553743
1085,WELINV,166.05,306.55,275.6,150.4,335.45,395.0,1.1040558510638299
1030,UJJIVAN,347.4,136.1,113.9,314.7,155.7,190.05,1.103908484270734
104,BAJAJFINSV,9393.35,16749.0,16124.85,8513.0,17786.75,9819.4,1.1034124280512159
952,SUVEN,307.1,92.45,81.25,278.4,93.35,90.2,1.1030890804597704
832,RSSOFTWARE,20.9,37.3,33.55,18.95,32.8,25.2,1.1029023746701847
712,NPBET,180.8,193.03,182.25,164.13,193.37,173.05,1.1015658319624688
498,JAICORPLTD,91.05,121.5,112.0,82.7,130.15,81.15,1.1009673518742442
1054,VENKEYS,1760.25,2312.1,2327.6,1598.95,2937.2,1523.2,1.1008787016479564
97,AXISBANK,754.1,794.9,723.85,685.0,766.55,651.75,1.1008759124087593
1099,ZEEL,292.2,286.0,254.15,265.5,303.2,197.4,1.1005649717514123
948,SUPRAJIT,197.2,383.6,314.05,179.2,321.6,254.7,1.1004464285714286
569,KOTAKPSUBK,250.76,286.87,264.16,227.92,243.13,191.09,1.1002106002106002
669,MUNJALAU,46.25,47.8,45.55,42.05,58.7,49.6,1.0998810939357908
312,GALLISPAT,23.8,56.05,51.2,21.65,55.65,39.1,1.0993071593533488
633,MARUTI,7368.6,7557.95,7485.8,6715.8,7338.05,6646.65,1.0972036093987314
11,ABFRL,231.7,308.4,278.3,211.35,246.35,173.85,1.0962857818784006
71,ASAHIINDIA,199.55,473.95,435.45,182.05,362.7,300.35,1.0961274375171657
327,GICHSGFIN,156.4,151.0,136.9,142.8,151.1,106.0,1.0952380952380951
118,BANKBARODA,101.9,120.3,107.7,93.05,81.75,63.25,1.095110155830199
685,NBIFIN,1598.3,2294.9,2300.0,1459.85,2653.05,2000.05,1.0948385108059047
1032,UMANGDAIRY,41.5,71.9,66.4,37.95,74.05,52.85,1.0935441370223977
928,SRTRANSFIN,1171.1,1207.2,1109.5,1071.0,1298.85,1345.05,1.0934640522875816
154,BOSCHLTD,15374.6,15036.5,14081.6,14063.7,15474.5,13416.8,1.0932116014988942
48,AMJLAND,19.4,34.0,32.6,17.75,37.8,22.2,1.0929577464788731
85,ASTRAMICRO,83.0,244.45,223.7,75.95,204.9,112.6,1.0928242264647794
523,JSL,38.65,203.45,179.85,35.4,162.0,75.85,1.0918079096045197
826,RITES,289.75,260.8,258.55,265.45,273.45,236.9,1.0915426634017706
470,INDUSINDBK,1510.0,985.6,928.65,1383.55,1111.9,845.0,1.0913953236240108
785,PSB,21.0,17.15,15.7,19.25,17.55,16.85,1.0909090909090908
871,SETFNIFBK,325.94,377.54,356.38,298.99,374.5,310.18,1.0901367938727047
1011,TRENT,527.15,1269.65,1171.25,483.9,1025.85,736.5,1.0893779706550941
41,ALMONDZ,11.25,111.3,105.4,10.35,100.45,26.9,1.0869565217391304
512,JKIL,140.9,189.05,169.9,129.65,188.45,178.9,1.0867720786733512
1089,WHEELS,599.3,587.85,565.15,551.65,759.45,418.9,1.086377231940542
565,KOTAKBKETF,331.08,381.38,360.13,304.98,378.93,314.17,1.0855793822545738
1042,UTISENSETF,442.62,625.84,594.67,407.75,621.91,499.01,1.0855180870631516
282,ESCORTS,629.6,1610.2,1827.35,580.35,1480.1,1210.6,1.0848625829240974
343,GODREJAGRO,516.95,510.9,474.85,477.0,640.0,484.95,1.0837526205450734
961,TALBROAUTO,119.6,521.15,438.4,110.45,288.1,203.5,1.0828429153463104
101,BAJAJ-AUTO,3185.0,3810.35,3569.8,2941.8,3832.65,3600.9,1.0826704738595416
268,ELECON,36.7,174.55,155.6,33.9,167.6,75.25,1.0825958702064897
146,BIRLACORPN,610.15,1152.7,1104.1,563.65,1435.7,942.2,1.0824980040805465
440,ICRA,3054.75,4221.15,3804.2,2822.0,3552.45,3237.1,1.0824769666902905
138,BHARATFORG,483.15,746.1,674.95,446.35,737.45,575.35,1.082446510585863
136,BHAGERIA,116.85,244.55,233.8,108.0,270.5,151.25,1.0819444444444444
391,HDFCSENETF,4375.0,638.84,612.8,4047.98,638.99,515.15,1.080785972262709
777,PRAKASH,50.95,82.3,70.6,47.15,66.95,74.6,1.080593849416755
1083,WELCORP,144.25,195.85,143.6,133.55,144.85,137.35,1.0801198053163608
