,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1854,VETO,EQ,43.4,43.4,42.0,42.3,42.1,41.7,30491,1297673.05,31-JUL-2020,459,INE918N01018
1855,VGUARD,EQ,164.0,164.9,162.0,162.85,162.8,163.55,174232,28390513.85,31-JUL-2020,3460,INE951I01027
1856,VHL,EQ,1308.95,1310.0,1260.0,1262.45,1260.0,1289.9,280,354777.45,31-JUL-2020,88,INE701A01023
1859,VIDHIING,EQ,70.4,71.3,69.0,70.15,70.0,70.05,35953,2518980.25,31-JUL-2020,608,INE632C01026
1861,VIKASECO,EQ,7.2,7.2,6.6,6.6,6.6,6.9,3617489,24809996.1,31-JUL-2020,1735,INE806A01020
1863,VIKASPROP,EQ,3.0,3.0,3.0,3.0,3.0,3.05,379224,1137672.0,31-JUL-2020,826,INE767B01022
1864,VIKASWSP,EQ,5.65,5.65,5.35,5.4,5.4,5.45,76956,419135.25,31-JUL-2020,194,INE706A01022
1865,VIMTALABS,EQ,99.35,105.9,97.0,104.25,104.2,98.05,597407,61575662.4,31-JUL-2020,8263,INE579C01029
1866,VINATIORGA,EQ,978.95,985.5,965.15,977.95,977.7,966.15,48866,47687232.25,31-JUL-2020,3503,INE410B01037
1867,VINDHYATEL,EQ,669.85,669.85,645.05,649.05,651.9,653.1,5609,3674652.55,31-JUL-2020,711,INE707A01012
1869,VINYLINDIA,EQ,82.4,82.9,79.25,81.0,81.0,80.25,42034,3399418.8,31-JUL-2020,1043,INE250B01029
1871,VIPIND,EQ,268.1,274.4,268.1,270.6,270.0,271.6,417411,113238779.15,31-JUL-2020,16698,INE054A01027
1872,VIPULLTD,EQ,14.0,14.0,12.95,13.05,13.0,13.5,6198,83249.25,31-JUL-2020,87,INE946H01037
1873,VISAKAIND,EQ,272.0,274.7,270.05,273.05,274.0,271.3,34956,9485682.1,31-JUL-2020,908,INE392A01013
1876,VISHNU,EQ,128.4,131.05,126.75,129.0,128.5,129.4,12813,1653683.5,31-JUL-2020,440,INE270I01014
1877,VISHWARAJ,EQ,84.0,85.4,83.0,84.35,84.4,84.7,2607,219644.7,31-JUL-2020,119,INE430N01014
1880,VLSFINANCE,EQ,51.0,52.25,50.5,50.9,50.8,51.1,13008,665250.15,31-JUL-2020,208,INE709A01018
1881,VMART,EQ,1797.8,1805.05,1762.3,1796.0,1796.0,1788.85,4330,7747980.85,31-JUL-2020,659,INE665J01013
1882,VOLTAMP,EQ,1035.0,1039.65,1015.0,1031.7,1032.0,1041.5,9147,9347730.35,31-JUL-2020,905,INE540H01012
1883,VOLTAS,EQ,595.25,603.5,590.65,598.4,596.25,595.25,1600492,958041300.25,31-JUL-2020,40474,INE226A01021
1884,VRLLOG,EQ,148.5,148.85,146.55,147.9,147.4,147.35,26025,3848076.45,31-JUL-2020,1384,INE366I01010
1886,VSTIND,EQ,3237.95,3263.5,3220.05,3247.65,3260.0,3222.7,8339,26978344.3,31-JUL-2020,1499,INE710A01016
1887,VSTTILLERS,EQ,1361.0,1387.45,1335.0,1348.65,1348.5,1367.4,9406,12813035.45,31-JUL-2020,1115,INE764D01017
1888,VTL,EQ,651.5,669.2,644.8,665.25,665.0,648.25,25162,16632998.85,31-JUL-2020,2025,INE825A01012
1889,WABAG,EQ,117.0,119.5,113.7,114.45,114.0,117.0,111034,12839860.75,31-JUL-2020,2482,INE956G01038
